folder_id,real_filename,meeting_date,meeting_name,belongs_to
CVZH9U4771EA,po8210 SCHOOL CALENDAR.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9W4774CA,po8330 STUDENT RECORDS.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9Y4776DD,po8600 TRANSPORTATION.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZHGJ4809F9,po9160 PUBLIC ATTENDANCE AT SCHOOL EVENTS.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZHGL480D14,po9211 DISTRICT SUPPORT ORGANIZATIONS.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZHGQ480FCB,po9270 EQUIVALENT EDUCATION OUTSIDE THE SCHOOLS & PARTICIPATION IN EXTRA-CURRICULAR FOR STUDENTS NOT ENROLLED IN THE DISTRICT.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZHGS4813FC,po0164 NOTICE OF MEETINGS.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZHGW481967,po5330.02 PROCUREMENT AND USE OF EPINEPHRINE AUTO INJECTORS IN EMERGENCY SITUATIONS.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZJVT4F0088,FY24 Monthly CFO Report August 2023.pdf,27/09/2023,Regular Meeting,Financial Report
CW2PHQ641DD6,Certified Staffing Agenda 09.27.2023.pdf,27/09/2023,Regular Meeting,Certified Recommendations
CW2PK364D868,Classified Staffing Agenda 09.27.2023.pdf,27/09/2023,Regular Meeting,Classified Recommendations
CW2PRB65A9CE,RESOLUTION DECLARING TRANSPORTATION IMPRACTICAL FOR THE 2023-2024 SCHOOL YEAR.pdf,27/09/2023,Regular Meeting,Payment in Lieu of Transportation
CW3FP9400A95,23-24 Final BBH Stepping Stone Preschool - Parent Handbook.pdf,27/09/2023,Regular Meeting,Stepping Stone Preschool Handbook
CW3NNB6069C7,po5330 MEDICATIONS.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CW3URA760873,2023 CC Questionnaire Brecksville Broadview-Heights High School revision.pdf,27/09/2023,Regular Meeting,Announcements
CW9G88428728,Minutes_Regular Board Meeting_09.27.2023.pdf,25/10/2023,Regular Meeting,Minutes
